"","X.3","X.2","X.1","X","PM2.5","PM10","SO2","CO","NO2","O3","HUM","PRES","WSPD","TEMP","ACTV","MORB.","Case","log.Case.1.","log.MORB..1.","City","days"
"71",71,71,71,"2020-04-01",62.3333333333333,72.6666666666667,6,0.666666666666667,31,88.6666666666667,70,950.333333333333,2.4,12.5,5.03553333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",70
"72",72,72,72,"2020-04-02",68,73.6666666666667,5.33333333333333,0.833333333333333,33,72.3333333333333,72.6666666666667,952,2.4,11.5,4.92123333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",71
"73",73,73,73,"2020-04-03",72,71.3333333333333,4.66666666666667,0.966666666666667,30,78.3333333333333,80,954.333333333333,2.4,10.8333333333333,4.95213333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",72
"74",74,74,74,"2020-04-04",62.6666666666667,69.3333333333333,5.33333333333333,0.966666666666667,32.3333333333333,99.6666666666667,85,957.333333333333,2.4,11,5.07223333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",73
"75",75,75,75,"2020-04-05",68,95.3333333333333,8.33333333333333,0.866666666666667,30.3333333333333,131,73,958,2.4,12.8333333333333,5.18183333333333,1.73472347597681e-18,0,0,0,"Sanmenxia",74
"76",76,76,76,"2020-04-06",64.3333333333333,101.666666666667,9.33333333333333,0.733333333333333,31,144.666666666667,60,957,2.96666666666667,13.5,5.15536666666666,1.73472347597681e-18,0,0,0,"Sanmenxia",75
"77",77,77,77,"2020-04-07",57.6666666666667,102,9.33333333333333,0.7,33,147.333333333333,48.6666666666667,954.666666666667,2.96666666666667,14.1666666666667,5.15969999999999,1.73472347597681e-18,0,0,0,"Sanmenxia",76
"78",78,78,78,"2020-04-08",50.6666666666667,92.3333333333333,8.66666666666667,0.7,36,150.666666666667,41.6666666666667,951.666666666667,2.96666666666667,15,5.19529999999999,1.73472347597681e-18,0,0,0,"Sanmenxia",77
"329",329,329,329,"2020-02-07",83,94.3333333333333,27.6666666666667,1.56666666666667,28,56,60.6666666666667,973.333333333333,0.9,2.66666666666667,2.52606666666667,0.002218082,1,0.693147180559945,0.00221562568765148,"Linfen",16
"330",330,330,330,"2020-02-08",105,115.333333333333,23.6666666666667,1.96666666666667,29.6666666666667,51.6666666666667,65,975.333333333333,0.9,1.83333333333333,2.4848,0.002218082,1,0.693147180559945,0.00221562568765148,"Linfen",17
"331",331,331,331,"2020-02-09",144.666666666667,160.666666666667,30,2.36666666666667,34,73.6666666666667,72.3333333333333,977,0.633333333333333,1.66666666666667,2.4889,0.002218082,1,0.693147180559945,0.00221562568765148,"Linfen",18
"332",332,332,332,"2020-02-10",154.666666666667,175.666666666667,31,2.33333333333333,37.3333333333333,91,77.3333333333333,975.666666666667,0.633333333333333,2.83333333333333,2.4989,0,0,0,0,"Linfen",19
"333",333,333,333,"2020-02-11",131.333333333333,155,42,2,41,107.666666666667,70.6666666666667,971.666666666667,0.366666666666667,4.16666666666667,2.5358,0,0,0,0,"Linfen",20
"334",334,334,334,"2020-02-12",97.3333333333333,121,43,1.6,43.3333333333333,114,66.6666666666667,966.333333333333,0.633333333333333,5.83333333333333,2.56826666666667,0,0,0,0,"Linfen",21
"335",335,335,335,"2020-02-13",76.3333333333333,101.333333333333,41,1.33333333333333,42.3333333333333,114,61.6666666666667,962.333333333333,0.366666666666667,7.5,2.5704,0,0,0,0,"Linfen",22
"336",336,336,336,"2020-02-14",54.3333333333333,96,23.6666666666667,0.966666666666666,30.6666666666667,107.333333333333,56.6666666666667,959.333333333333,1.13333333333333,9,2.56356666666667,0,0,0,0,"Linfen",23
"337",337,337,337,"2020-02-15",29,65.3333333333333,13,0.6,18.3333333333333,92.3333333333333,41,965,1.63333333333333,7.5,2.49286666666667,0,0,0,0,"Linfen",24
"338",338,338,338,"2020-02-16",10,39.6666666666667,6.33333333333333,0.333333333333333,9,80.3333333333333,28,972,1.9,3.66666666666667,2.42133333333333,0,0,0,0,"Linfen",25
"339",339,339,339,"2020-02-17",14,23.3333333333333,12.6666666666667,0.566666666666666,14.6666666666667,82,24.3333333333333,979.333333333333,1.9,0.333333333333333,2.49986666666667,0,0,0,0,"Linfen",26
"340",340,340,340,"2020-02-18",27.3333333333333,38.6666666666667,20.6666666666667,0.866666666666666,24.6666666666667,85,30.3333333333333,978.333333333333,1.4,0.833333333333333,2.65466666666667,0,0,0,0,"Linfen",27
"341",341,341,341,"2020-02-19",46.6666666666667,65.3333333333333,28.6666666666667,1.26666666666667,36.3333333333333,91.6666666666667,37,975,1.4,3,2.81686666666667,0,0,0,0,"Linfen",28
