"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"94","Huzhou",3043.48,45.1866859623734,1.93632416787265,23.0882778581766,20.1620839363242,22.770194,5.561068251,3.095798231,3.610669365,5820,522.93470790378,14.8470454750396,4.28516525749424,51.0953112990008,44.619523443505,4.739471429,0,0
"95","Jiaxing",4800,77.7180897250362,1.74949348769899,41.8603473227207,34.1082489146165,20.7143066,5.95375,2.790208333,3.303958333,4223,1136.63272555056,16.1912686927159,2.25107628595689,53.8617810484292,43.887142665614,4.599057143,0.57973,0.120777
"96","Jinhua",5624,65.99001447178,2.11027496382055,26.5272069464544,37.3525325615051,19.7047615,6.105974395,3.360775249,3.49697724,10942,513.982818497532,11.7336441094915,3.19787013340176,40.198819713547,56.6033101530513,4.1525,4.217855,0.749974
"97","Quzhou",2218,22.771490593343,1.25195369030391,9.42286541244573,12.0966714905933,26.6664604,7.032010821,3.360234445,3.457220462,8845,250.763143018655,10.2666774541673,5.49789960025675,41.3800992685143,53.1220011312289,5.945728571,0,0
"98","Taizhou",6150,74.2988422575977,4.0821997105644,33.862518089725,36.3541244573083,21.2506563,5.043414634,3.131382114,3.323902439,10050,611.940298507463,12.081112562211,5.49429787399811,45.5761046347426,48.9295974912593,4.821085714,5.253115,0.854165
"99","Lishui",2206,21.3691751085384,1.44775687409551,8.26830680173661,11.6531114327062,24.9430945,6.477787851,3.764732548,3.842701723,17275,127.698986975398,9.686842750924,6.77497782081931,38.6926812089854,54.5323409701952,4.786928571,0,0
"100","Zhoushan",1176,19.849493487699,2.11866859623734,6.88133140376266,10.849493487699,23.9437502,5.340986395,2.885204082,3.297619048,1459,806.03152844414,16.8788209929413,10.673665791776,34.6675415573053,54.6587926509186,5.040671429,0,0
"101","Hefei",8189,136.170767004342,4.22373371924747,49.4257597684515,82.5212735166426,17.6614929,7.204786909,3.260471364,4.237391623,11445,715.508955875928,16.628497619287,3.10179182519608,36.2968945947669,60.601313580037,5.374764286,19.71423,2.407404
"102","Wuhu",3778,52.3626628075253,2.12112879884226,25.4250361794501,24.816497829233,20.1214399,5.743779778,2.395976707,2.78771837,6026,626.949883836708,13.8598895731936,4.05084211748188,48.5556593500743,47.3934985324438,5.559357143,4.543425,1.202601
"103","Bengbu",3412,29.7709117221418,3.39102749638205,12.2412445730825,14.1386396526773,18.1148886,6.623681125,2.291324736,3.021981243,5951,573.349016971938,8.72535513544602,11.3904052654861,41.1181380245677,47.4914567099462,6.072157143,0,0
"104","Huainan",3490,18.7583212735166,1.88277858176556,7.63531114327062,9.24023154848046,21.67,5.491404011,1.850429799,2.537535817,5532,630.874909616775,5.37487715573543,10.0370313223268,40.7035951242092,49.259373553464,5.613428571,0,0
"105","Maanshan",2361,30.5499276410999,1.36179450072359,14.9536903039074,14.2344428364689,23.24,4.404913172,2.158750535,2.534017972,4049,583.106939985181,12.9394017963151,4.45760303173851,48.9483657034581,46.5940312648034,5.580514286,0,0
"106","Huaibei",2270,15.5991316931983,1.05354558610709,6.6657018813314,7.87988422575977,15.5016872,5.692511013,2.042147294,2.34649512,2741,828.164903319956,6.87186418202567,6.75387327210316,42.7312366638835,50.5148900640134,5.751128571,0,0
"107","Tongling",1641,13.8958031837916,0.762662807525326,6.4370477568741,6.69609261939218,19.4488292,5.698354662,2.162096283,2.62400975,2991,548.64593781344,8.46788737586326,5.48843990835243,46.323682566132,48.1878775255155,6.087821429,1.252105,0.763013
"108","Anqing",4723,34.4500723589001,3.1273516642547,15.4804630969609,15.8437047756874,21.0834134,4.526360364,1.993224645,2.115816219,13538,348.869847835722,7.29410805820456,9.07792480571309,44.9359378281874,45.9903381642512,6.588342857,22.61759,4.788819
"109","Huangshan",1421,11.8379160636758,0.894356005788712,4.09985528219971,6.84370477568741,22.87,6.233638283,2.556650246,3.075299085,9678,146.827856995247,8.3306939223616,7.55501222493888,34.6332518337408,57.8117359413203,6.087228571,0,0
"110","Fuyang",8259,39.1461649782923,5.07091172214182,14.9522431259045,19.1215629522431,14.61,5.653711103,1.96355491,2.260079913,10118,816.268037161494,4.73981898272095,12.9537892791128,38.1959334565619,48.8465804066543,6.879514286,17.380745,2.104461
