"","City","POP","GDP","PRIM","SEC","TERT","X.60yr.","BED","DOC","NRS","Area","POPDENS","GDPpc","Prim.","Sec.","Tert.","ACTV","TVLR","TVLR."
"86","Yangzhou",4549,84.6610709117221,4.23733719247467,40.2056439942113,40.2180897250362,28.0796811,5.494394372,2.760386898,2.661903715,6591,690.183583674708,128.601450868323,5.00505975986653,47.4901197932336,47.5048204468999,5.788485714,1.72968,0.380233
"87","Zhenjiang",3203.5,59.7296671490593,2.02894356005789,29.0128798842258,28.6878437047757,23.5754641,4.945840487,2.643670985,2.982987358,3840,834.244791666667,128.837833619479,3.39687739259374,48.5736506982739,48.0294719091323,5.344914286,0.267,0.0833
"88","Taizhou",4636.1,74.2888567293777,4.23299565846599,36.5554269175109,33.5004341534009,30.1920016,6.44615086,2.870731865,2.860809732,5787,801.123207188526,110.725825586161,5.69802234793585,49.2071469758599,45.0948306762043,5.92165,2.727135,0.588239
"89","Suqian",5923.6,44.8513748191028,4.69753979739508,19.1657018813314,20.9881331403763,9.6697346,4.988182862,2.351441691,3.260541031,8524,694.93195682778,52.3200418664326,10.4735692413922,42.7315817154583,46.7948490431494,5.998985714,0,0
"94","Huzhou",3043.48,45.1866859623734,1.93632416787265,23.0882778581766,20.1620839363242,22.770194,5.561068251,3.095798231,3.610669365,5820,522.93470790378,102.593084232523,4.28516525749424,51.0953112990008,44.619523443505,4.739471429,0,0
"97","Quzhou",2218,22.771490593343,1.25195369030391,9.42286541244573,12.0966714905933,26.6664604,7.032010821,3.360234445,3.457220462,8845,250.763143018655,70.9427412082958,5.49789960025675,41.3800992685143,53.1220011312289,5.945728571,0,0
"98","Taizhou",6150,74.2988422575977,4.0821997105644,33.862518089725,36.3541244573083,21.2506563,5.043414634,3.131382114,3.323902439,10050,611.940298507463,83.480487804878,5.49429787399811,45.5761046347426,48.9295974912593,4.821085714,5.253115,0.854165
"99","Lishui",2206,21.3691751085384,1.44775687409551,8.26830680173661,11.6531114327062,24.9430945,6.477787851,3.764732548,3.842701723,17275,127.698986975398,66.9360834088849,6.77497782081931,38.6926812089854,54.5323409701952,4.786928571,0,0
"100","Zhoushan",1176,19.849493487699,2.11866859623734,6.88133140376266,10.849493487699,23.9437502,5.340986395,2.885204082,3.297619048,1459,806.03152844414,116.632653061224,10.673665791776,34.6675415573053,54.6587926509186,5.040671429,0,0
"102","Wuhu",3778,52.3626628075253,2.12112879884226,25.4250361794501,24.816497829233,20.1214399,5.743779778,2.395976707,2.78771837,6026,626.949883836708,95.7718369507676,4.05084211748188,48.5556593500743,47.3934985324438,5.559357143,4.543425,1.202601
"103","Bengbu",3412,29.7709117221418,3.39102749638205,12.2412445730825,14.1386396526773,18.1148886,6.623681125,2.291324736,3.021981243,5951,573.349016971938,60.292203985932,11.3904052654861,41.1181380245677,47.4914567099462,6.072157143,0,0
"104","Huainan",3490,18.7583212735166,1.88277858176556,7.63531114327062,9.24023154848046,21.67,5.491404011,1.850429799,2.537535817,5532,630.874909616775,37.1404011461318,10.0370313223268,40.7035951242092,49.259373553464,5.613428571,0,0
"105","Maanshan",2361,30.5499276410999,1.36179450072359,14.9536903039074,14.2344428364689,23.24,4.404913172,2.158750535,2.534017972,4049,583.106939985181,89.4112664125371,4.45760303173851,48.9483657034581,46.5940312648034,5.580514286,0,0
"106","Huaibei",2270,15.5991316931983,1.05354558610709,6.6657018813314,7.87988422575977,15.5016872,5.692511013,2.042147294,2.34649512,2741,828.164903319956,47.4845814977974,6.75387327210316,42.7312366638835,50.5148900640134,5.751128571,0,0
"107","Tongling",1641,13.8958031837916,0.762662807525326,6.4370477568741,6.69609261939218,19.4488292,5.698354662,2.162096283,2.62400975,2991,548.64593781344,58.5131017672151,5.48843990835243,46.323682566132,48.1878775255155,6.087821429,1.252105,0.763013
"108","Anqing",4723,34.4500723589001,3.1273516642547,15.4804630969609,15.8437047756874,21.0834134,4.526360364,1.993224645,2.115816219,13538,348.869847835722,50.4022866821935,9.07792480571309,44.9359378281874,45.9903381642512,6.588342857,22.61759,4.788819
"109","Huangshan",1421,11.8379160636758,0.894356005788712,4.09985528219971,6.84370477568741,22.87,6.233638283,2.556650246,3.075299085,9678,146.827856995247,57.5650950035186,7.55501222493888,34.6332518337408,57.8117359413203,6.087228571,0,0
"110","Fuyang",8259,39.1461649782923,5.07091172214182,14.9522431259045,19.1215629522431,14.61,5.653711103,1.96355491,2.260079913,10118,816.268037161494,32.7521491706018,12.9537892791128,38.1959334565619,48.8465804066543,6.879514286,17.380745,2.104461
"111","Suzhou",5700.5,28.6360347322721,4.16367583212735,10.2798842257598,14.1953690303907,18.08,4.473291817,1.719147443,1.806859047,9939,573.548646745145,34.7118673800544,14.5399873657612,35.8984207201516,49.5716993051169,6.14565,3.184845,0.558696
"112","Chuzhou",4147,42.0998552821997,3.60926193921852,20.6599131693198,17.8306801736614,20.1228914,5.216542079,1.998794309,2.578008199,13516,306.82154483575,70.149505666747,8.5730982090681,49.0735966450105,42.3533051459214,5.774135714,0,0
"113","Liuan",4873,23.4457308248915,3.14182344428365,8.47178002894356,11.8321273516643,16.9759046,4.712292222,2.400369382,1.858403448,15451,315.384117532846,33.2464600861892,13.4004073822604,36.1335720017283,50.4660206160114,6.181521429,10.224945,2.098285
"114","Xuancheng",2661,22.5947901591896,2.16787264833575,10.684515195369,9.74240231548481,23.67,5.461480646,2.126644119,2.418263811,12313,216.11305124665,58.673431040962,9.59456862870685,47.2875168129123,43.1179145583808,5.895528571,0,0
"115","Chizhou",1485,12.0361794500724,1.21418234442836,5.31548480463097,5.50651230101302,21.2,5.294276094,2.069360269,2.401346801,8399,176.806762709846,56.006734006734,10.087772033185,44.1625586148852,45.7496693519298,5.895107143,0,0
"116","Bozhou",5263,25.3111432706223,3.44717800289436,8.99855282199711,12.8654124457308,14.9550033,4.454493635,1.572867186,1.876306289,8521,617.650510503462,33.2319969599088,13.6192109777015,35.5517438536306,50.8290451686678,7.0828,4.14194,0.786992
"118","Xianyang",4356.2,31.7703328509407,4.40188133140376,14.6399421128799,12.728509406657,17.859498,6.872274,2.716587852,4.059730958,9544,456.433361274099,50.3955282126624,13.8553201568785,46.0805436995805,40.0641361435411,4.488242857,0.511285,0.117369
"119","Baoji",3761,32.182489146165,2.58683068017366,18.4353111432706,11.1603473227207,17.3,7.345120978,2.844988035,3.642648232,18117,207.595076447535,59.1281574049455,8.03800684410988,57.2836708172011,34.678322338689,5.114364286,0,0
"121","Weinan",5278.1,26.4612156295224,4.7040520984081,9.83342981186686,11.9237337192475,18.3011374,6.305109793,2.202307649,2.46261309,13134,401.865387543779,34.6425797161858,17.7771579517301,37.1616706864209,45.061171361849,4.87325,0,0
"123","Zigong",2922,20.6727930535456,2.92850940665702,8.28798842257598,9.45629522431259,22.9295003,8.136892539,1.663356164,2.51609589,4381,666.971011184661,48.8874058863792,14.1660074624254,40.0912852032566,45.742707334318,5.63745,0,0
"124","Luzhou",4329.4,30.1195369030391,3.14008683068017,14.7881331403763,12.1913169319826,23.6098628,7.982861366,2.529911766,3.355430314,12232,353.940483976455,48.0727121541091,10.4254153733796,49.0981424713875,40.4764421552329,5.741471429,0,0
"125","Deyang",3561,33.8046309696093,3.39507959479016,17.1403762662808,13.2691751085383,26.4747743,7.400168492,2.700365066,2.98286998,5911,602.436136017594,65.5967424880651,10.0432381523182,50.7042253521127,39.2525364955692,5.051928571,0,0
"126","Mianyang",4877,41.3342981186686,4.37698986975398,16.6619392185239,20.2953690303907,25.6003998,8.263276604,2.788599549,3.137174493,20248,240.863295140261,58.5646914086529,10.5892444506687,40.310202366781,49.1005531825502,5.486057143,0,0
"127","Suining",3189,19.4751085383502,2.68031837916064,8.90434153400868,7.8904486251809,25.6021025,6.710567576,2.301034807,2.39573534,5322,599.210822998873,42.1991219818125,13.7627904557378,45.721652931866,40.5155566123962,6.12235,0,0
"128","Neijiang",3700,20.7424023154848,3.48046309696093,7.08943560057887,10.172503617945,21.7990184,7,2.162162162,2.648648649,5385,687.093779015785,38.7378378378378,16.7794599874416,34.1784692667271,49.0420707458313,5.322078571,0,0
